RPM,Power (W),Thrust (N),Torque (Nm)
10690,456.17,9.8031,0.40749
9417.5,290.4,6.5371,0.29447
8415.6,186.09,4.323,0.21116
7606.4,117.58,2.772,0.14761
6939.2,70.872,1.6522,0.09753
6379.6,38.059,0.82308,0.056969
5903.5,14.459,0.1964,0.023389
