RPM,Power (W),Thrust (N),Torque (Nm)
13287,540,8.74,0.39143
11660,357.69,6.2064,0.29295
10388,242.35,4.4815,0.22279
9366,167.33,3.257,0.1706
8527.2,116.47,2.3578,0.13042
7826.4,80.807,1.6788,0.098596
7232,55.12,1.1539,0.072782
