RPM,Power (W),Thrust (N),Torque (Nm)
12821,372,7.1,0.288
11396,259,5.4,0.225
10256,186,4.2,0.180
9324,138,3.3,0.147
8547,104,2.7,0.121
7890,81,2.2,0.101
7326,63,1.8,0.086
