RPM,Power (W),Thrust (N),Torque (Nm)
11834,548,12.2,0.434
10144,350,8.8,0.324
8876,238,6.6,0.251
7890,168,5.0,0.200
7101,121,3.9,0.160
6455,89,3.0,0.129
5917,66,2.3,0.105
